출처,ID,이름,주소,주소_정규화,위도,경도,매칭이유,이름_정규화
소상공인상권,MA010120220807927503,씨유신길성애점,서울특별시 영등포구 영등포로72길 18,서울 영등포구 영등포로72길 18,37.5124586592062,126.918437527961,"주소매칭, 좌표매칭",씨유신길성애점
소상공인상권,MA010120220800368712,GS25영등포타운점,서울특별시 영등포구 당산로20길 9-2,서울 영등포구 당산로20길 9-2,37.5234975424527,126.897372942019,"이름매칭, 주소매칭, 좌표매칭",gs25영등포타운점
소상공인상권,MA010120220800397671,세븐비즈센터점주,서울특별시 영등포구 양산로 53,서울 영등포구 양산로 53,37.5256342788916,126.888919334365,주소매칭,세븐비즈센터점주
소상공인상권,MA010120220800397675,세븐S여의나루역점주,서울특별시 영등포구 여의동로 280,서울 영등포구 여의동로 280,37.5249679940267,126.939024388301,주소매칭,세븐s여의나루역점주
소상공인상권,MA0101202302A0078030,코리아세븐양평,서울특별시 영등포구 선유서로21길 14,서울 영등포구 선유서로21길 14,37.5227642327422,126.883866950587,주소매칭,코리아세븐양평
소상공인상권,MA0101202302A0053925,세븐일레븐선유비즈,서울특별시 영등포구 양평로21길 26,서울 영등포구 양평로21길 26,37.5362958257109,126.891833960812,주소매칭,세븐일레븐선유비즈
소상공인상권,MA0101202212A0094020,세븐대림중앙점,서울특별시 영등포구 대림로44길 5,서울 영등포구 대림로44길 5,37.5025491219023,126.897277219148,주소매칭,세븐대림중앙점
소상공인상권,MA010120220800353087,씨유문래남부점,서울특별시 영등포구 선유로 40,서울 영등포구 선유로 40,37.5173903097618,126.889135163894,"주소매칭, 좌표매칭",씨유문래남부점
소상공인상권,MA010120220802905718,세븐일레븐여의,서울특별시 영등포구 국회대로74길 20,서울 영등포구 국회대로74길 20,37.5295978403373,126.921552688369,주소매칭,세븐일레븐여의
소상공인상권,MA010120220800348589,세븐일레븐410호영등포2호,서울특별시 영등포구 영중로4길 9-4,서울 영등포구 영중로4길 9-4,37.517658457588,126.907572710718,주소매칭,세븐일레븐410호영등포2호
소상공인상권,MA0101202211A0100498,지에스25신길하늘,서울특별시 영등포구 도신로 256,서울 영등포구 도신로 256,37.5136842185002,126.918718969865,"주소매칭, 좌표매칭",지에스25신길하늘
소상공인상권,MA010120220800355478,씨유문래벤처점,서울특별시 영등포구 선유로 70,서울 영등포구 선유로 70,37.5201663353238,126.890137824701,주소매칭,씨유문래벤처점
소상공인상권,MA010120220810010711,GS25당산정고을점,서울특별시 영등포구 당산로49길 20,서울 영등포구 당산로49길 20,37.5364301653626,126.901190822286,"이름매칭, 주소매칭",gs25당산정고을점
소상공인상권,MA010120220800397482,세븐영등포역사점주,서울특별시 영등포구 경인로 846,서울 영등포구 경인로 846,37.5156673130525,126.907665657018,주소매칭,세븐영등포역사점주
소상공인상권,MA010120220802926077,씨유국회대로오피스점,서울특별시 영등포구 국회대로52길 3,서울 영등포구 국회대로52길 3,37.5250731682462,126.906884799335,주소매칭,씨유국회대로오피스점
소상공인상권,MA010120220809790371,씨유당산,서울특별시 영등포구 영신로57길 5,서울 영등포구 영신로57길 5,37.5281963690969,126.902819473584,2차검증,씨유당산
소상공인상권,MA0101202212A0021524,세븐대림두암점,서울특별시 영등포구 대림로29길 24,서울 영등포구 대림로29길 24,37.4950163666305,126.896880441835,주소매칭,세븐대림두암점
소상공인상권,MA0101202212A0054517,세븐일레븐오목교투웨니점,서울특별시 영등포구 선유서로25길 19,서울 영등포구 선유서로25길 19,37.524503241849,126.883943443567,"이름매칭, 주소매칭",세븐일레븐오목교투웨니점
소상공인상권,MA010120220800938727,GS25신길래미안,서울특별시 영등포구 신길로42길 20,서울 영등포구 신길로42길 20,37.5073639151508,126.912742796192,"주소매칭, 좌표매칭",gs25신길래미안
소상공인상권,MA010120220809817759,이마트24신세계영등포,서울특별시 영등포구 영중로3길 5,서울 영등포구 영중로3길 5,37.5167831454447,126.905877066727,"주소매칭, 좌표매칭",이마트24신세계영등포
