Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39
MA010120220804947811,지에스25동여의점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100450013,1,대지,45,13,서울특별시 영등포구 여의도동 45-13,115604154685,서울특별시 영등포구 여의대방로65길,23,,1156011000100450017031686,포레스텔빌딩,서울특별시 영등포구 여의대방로65길 23,150979,07332,,,,126.928802276885,37.5201329008022
MA010120220807927503,씨유신길성애점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200101110012,1,대지,111,12,서울특별시 영등포구 신길동 111-12,115604154744,서울특별시 영등포구 영등포로72길,18,,1156013200101110012017358,그랜드하임,서울특별시 영등포구 영등포로72길 18,150839,07352,,1,,126.918437527961,37.5124586592062
MA010120220800368712,GS25영등포타운점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560550,당산1동,1156011100,당산동1가,1156011100102960000,1,대지,296,,서울특별시 영등포구 당산동1가 296,115604154102,서울특별시 영등포구 당산로20길,9,2,1156011100102960000029044,,서울특별시 영등포구 당산로20길 9-2,150801,07265,,1,,126.897372942019,37.5234975424527
MA010120220800397671,세븐비즈센터점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012700,양평동3가,1156012700100150001,1,대지,15,1,서울특별시 영등포구 양평동3가 15-1,115603118016,서울특별시 영등포구 양산로,53,,1156012700100150001000001,,서울특별시 영등포구 양산로 53,150103,07271,,,,126.888919334365,37.5256342788916
MA010120220800397675,세븐S여의나루역점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100850001,1,대지,85,1,서울특별시 영등포구 여의도동 85-1,115603118020,서울특별시 영등포구 여의동로,280,,1156011000100860001000003,,서울특별시 영등포구 여의동로 280,150897,07337,X8,B1,,126.939024388301,37.5249679940267
MA0101202302A0078030,코리아세븐양평,행운점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012600,양평동2가,1156012600100190004,1,대지,19,4,서울특별시 영등포구 양평동2가 19-4,115604154466,서울특별시 영등포구 선유서로21길,14,,1156012600100190004022143,,서울특별시 영등포구 선유서로21길 14,150102,07278,,,,126.883866950587,37.5227642327422
MA0101202302A0100551,지에스25여의더하우스,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100170009,1,대지,17,9,서울특별시 영등포구 여의도동 17-9,115602118002,서울특별시 영등포구 의사당대로,26,,1156011000100170009031183,더하우스,서울특별시 영등포구 의사당대로 26,150874,07236,,,,126.918105445019,37.5265320948017
MA0101202302A0072229,이마트24여의콤비점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100610004,1,대지,61,4,서울특별시 영등포구 여의도동 61-4,115603118001,서울특별시 영등포구 63로,32,,1156011000100610004031475,콤비빌딩,서울특별시 영등포구 63로 32,150732,07345,,1,,126.938780382069,37.5190032303906
MA0101202302A0053925,세븐일레븐선유비즈,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560620,양평2동,1156012900,양평동5가,1156012900100010001,1,대지,1,1,서울특별시 영등포구 양평동5가 1-1,115604154613,서울특별시 영등포구 양평로21길,26,,1156012900100010001019894,선유도역1차,서울특별시 영등포구 양평로21길 26,150105,07207,,,,126.891833960812,37.5362958257109
MA010120220808197962,이마트24신길우신점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560660,신길4동,1156013200,신길동,1156013200102050069,1,대지,205,69,서울특별시 영등포구 신길동 205-69,115604154335,서울특별시 영등포구 도신로48길,26,,1156013200102050069012055,,서울특별시 영등포구 도신로48길 26,150844,07347,,1,,126.913351727339,37.5089321114138
MA010120220800401274,코레일유통,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560550,당산1동,1156011300,당산동3가,1156011300100020007,1,대지,2,7,서울특별시 영등포구 당산동3가 2-7,115602005008,서울특별시 영등포구 국회대로,612,,1156011300100020007029055,,서울특별시 영등포구 국회대로 612,150802,07258,,,,126.902053321329,37.5257900617629
MA0101202301A0068942,이마트24신길뉴타운점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560670,신길5동,1156013200,신길동,1156013200149370000,1,대지,4937,,서울특별시 영등포구 신길동 4937,115603118014,서울특별시 영등포구 신길로,119,,1156013200149370000000001,신길뉴타운한화꿈에그린,서울특별시 영등포구 신길로 119,150841,07400,112,1,,126.909705034909,37.5035053307233
MA0101202212A0094020,세븐대림중앙점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300106510004,1,대지,651,4,서울특별시 영등포구 대림동 651-4,115604154187,서울특별시 영등포구 대림로44길,5,,1156013300106510004000483,,서울특별시 영등포구 대림로44길 5,150812,07379,,1,,126.897277219148,37.5025491219023
MA010120220800353087,씨유문래남부점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012100,문래동3가,1156012100100770059,1,대지,77,59,서울특별시 영등포구 문래동3가 77-59,115603005074,서울특별시 영등포구 선유로,40,,1156012100100770059023614,,서울특별시 영등포구 선유로 40,150836,07295,,1,,126.889135163894,37.5173903097618
MA010120220802905718,세븐일레븐여의,3호점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100130021,1,대지,13,21,서울특별시 영등포구 여의도동 13-21,115604154092,서울특별시 영등포구 국회대로74길,20,,1156011000100130021037283,,서울특별시 영등포구 국회대로74길 20,150870,07238,,1,,126.921552688369,37.5295978403373
MA010120220800348589,세븐일레븐410호영등포2호,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100210003,1,대지,21,3,서울특별시 영등포구 영등포동3가 21-3,115604154815,서울특별시 영등포구 영중로4길,9,4,1156010400100210003035623,,서울특별시 영등포구 영중로4길 9-4,150030,07304,,,,126.907572710718,37.517658457588
MA010120220800998916,마켓무신길성애점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200104660009,1,대지,466,9,서울특별시 영등포구 신길동 466-9,115604154752,서울특별시 영등포구 영등포로84길,22,1,1156013200104660009018888,,서울특별시 영등포구 영등포로84길 22-1,150853,07356,,1,,126.921809415036,37.5112535939154
MA010120220812340841,씨유대림신,대박점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300108320014,1,대지,832,14,서울특별시 영등포구 대림동 832-14,115603118027,서울특별시 영등포구 대림로,133,,1156013300108320014002416,,서울특별시 영등포구 대림로 133,150819,07418,,1,,126.901123580017,37.4930738197111
MA010120220800434291,씨유대림우성점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300108450014,1,대지,845,14,서울특별시 영등포구 대림동 845-14,115603116010,서울특별시 영등포구 도림로,188,1,1156013300108450014004804,,서울특별시 영등포구 도림로 188-1,150818,07422,,1,,126.902024516379,37.4959037311051
MA0101202211A0034915,세븐신영증권점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100340008,1,대지,34,8,서울특별시 영등포구 여의도동 34-8,115604154067,서울특별시 영등포구 국제금융로8길,16,,1156011000100340008031388,,서울특별시 영등포구 국제금융로8길 16,150884,07330,,,,126.92888035764,37.5212952414264
MA0101202211A0100498,지에스25신길하늘,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200101000006,1,대지,100,6,서울특별시 영등포구 신길동 100-6,115603118006,서울특별시 영등포구 도신로,256,,1156013200101000006000001,,서울특별시 영등포구 도신로 256,150839,07352,,1,,126.918718969865,37.5136842185002
MA010120220800355478,씨유문래벤처점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560605,문래동,1156012100,문래동3가,1156012100100820029,1,대지,82,29,서울특별시 영등포구 문래동3가 82-29,115603005074,서울특별시 영등포구 선유로,70,,1156012100100820029024697,문래동우리벤처타운,서울특별시 영등포구 선유로 70,150700,07294,,1,,126.890137824701,37.5201663353238
MA010120220810010711,GS25당산정고을점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011600,당산동6가,1156011600103500014,1,대지,350,14,서울특별시 영등포구 당산동6가 350-14,115604154128,서울특별시 영등포구 당산로49길,20,,1156011600103500014027257,,서울특별시 영등포구 당산로49길 20,150810,07222,,1,,126.901190822286,37.5364301653626
MA010120220800397482,세븐영등포역사점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560515,영등포본동,1156010100,영등포동,1156010100106180496,1,대지,618,496,서울특별시 영등포구 영등포동 618-496,115603000028,서울특별시 영등포구 경인로,846,,1156010100106180501000001,,서울특별시 영등포구 경인로 846,150899,07306,,,,126.907665657018,37.5156673130525
MA010120220802926077,씨유국회대로오피스점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010800,영등포동7가,1156010800101040005,1,대지,104,5,서울특별시 영등포구 영등포동7가 104-5,115604154082,서울특별시 영등포구 국회대로52길,3,,1156010800101040005031945,,서울특별시 영등포구 국회대로52길 3,150030,07247,,1,,126.906884799335,37.5250731682462
MA010120220805943946,코리아세븐대림88,타워점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300107060001,1,대지,706,1,서울특별시 영등포구 대림동 706-1,115603116010,서울특별시 영등포구 도림로,144,,1156013300107060001002452,월드타워,서울특별시 영등포구 도림로 144,150907,07417,,,,126.898217095091,37.493332643372
MA010120220809790371,씨유당산,한강점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011400,당산동4가,1156011400100290000,1,대지,29,,서울특별시 영등포구 당산동4가 29,115604154785,서울특별시 영등포구 영신로57길,5,,1156011400100290000028555,서초한강아파트,서울특별시 영등포구 영신로57길 5,150805,07221,상가,,,126.902819473584,37.5281963690969
MA010120220800382630,아모스씨스페이스,영등포점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300109930057,1,대지,993,57,서울특별시 영등포구 대림동 993-57,115602005010,서울특별시 영등포구 시흥대로,607,,1156013300109930057003927,,서울특별시 영등포구 시흥대로 607,150823,07445,,1,,126.90434282589,37.4869586304429
MA0101202212A0002017,이마트24당산포레나점,,G2,소매,G204,종합 소매,G20405,편의점,G47121,슈퍼마켓,11,서울특별시,11560,영등포구,11560550,당산1동,1156011100,당산동1가,1156011100103910000,1,대지,391,,서울특별시 영등포구 당산동1가 391,115604154100,서울특별시 영등포구 당산로16길,11,1,1156011100103910000030081,,서울특별시 영등포구 당산로16길 11-1,150801,07265,,1,,126.897272340277,37.5226144728157
MA0101202212A0021524,세븐대림두암점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107270005,1,대지,727,5,서울특별시 영등포구 대림동 727-5,115604154157,서울특별시 영등포구 대림로29길,24,,1156013300107270005001838,,서울특별시 영등포구 대림로29길 24,150815,07414,,1,,126.896880441835,37.4950163666305
MA0101202212A0054517,세븐일레븐오목교투웨니점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560610,양평1동,1156012600,양평동2가,1156012600100370003,1,대지,37,3,서울특별시 영등포구 양평동2가 37-3,115604154468,서울특별시 영등포구 선유서로25길,19,,1156012600100370003021262,오목교투웨니퍼스트,서울특별시 영등포구 선유서로25길 19,150102,07275,104,,,126.883943443567,37.524503241849
MA0101202212A0040003,세븐일레븐대림,두암점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107270005,1,대지,727,5,서울특별시 영등포구 대림동 727-5,115604154157,서울특별시 영등포구 대림로29길,24,,1156013300107270005001838,,서울특별시 영등포구 대림로29길 24,150815,07414,,1,,126.896880441835,37.4950163666305
MA0101202211A0006570,마이팬트리24편의점더코노셔점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100150013,1,대지,15,13,서울특별시 영등포구 여의도동 15-13,115604154089,서울특별시 영등포구 국회대로68길,24,,1156011000100150013031128,일부라포르테블랑여의도,서울특별시 영등포구 국회대로68길 24,150872,07237,,,,126.920128638739,37.5282453836257
MA0101202211A0049247,세븐신길가마산로점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200102270018,1,대지,227,18,서울특별시 영등포구 신길동 227-18,115604154028,서울특별시 영등포구 가마산로71길,21,,1156013200102270019014895,,서울특별시 영등포구 가마산로71길 21,150846,07386,,1,,126.90980166045,37.5077941882002
MA010120220800938727,GS25신길래미안,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560660,신길4동,1156013200,신길동,1156013200102330145,1,대지,233,145,서울특별시 영등포구 신길동 233-145,115604154535,서울특별시 영등포구 신길로42길,20,,1156013200102330145012298,전체,서울특별시 영등포구 신길로42길 20,150845,07362,,1,,126.912742796192,37.5073639151508
MA010120220800088204,세븐일레븐여의홍우점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100430003,1,대지,43,3,서울특별시 영등포구 여의도동 43-3,115603118002,서울특별시 영등포구 국제금융로,78,,1156011000100430003031439,홍우빌딩,서울특별시 영등포구 국제금융로 78,150889,07333,,1,,126.931301549666,37.5208732032459
MA010120220813445112,씨유도림로점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560670,신길5동,1156013200,신길동,1156013200103550041,1,대지,355,41,서울특별시 영등포구 신길동 355-41,115603116010,서울특별시 영등포구 도림로,291,,1156013200103550041009925,,서울특별시 영등포구 도림로 291,150850,07404,,1,,126.903100080079,37.5036712883933
MA010120220809817759,이마트24신세계영등포,제일점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010500,영등포동4가,1156010500104320012,1,대지,432,12,서울특별시 영등포구 영등포동4가 432-12,115604154812,서울특별시 영등포구 영중로3길,5,,1156010500104320012035824,,서울특별시 영등포구 영중로3길 5,150030,07305,,1,,126.905877066727,37.5167831454447
MA0101202210A0017685,지에스25당산하나,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560550,당산1동,1156011200,당산동2가,1156011200100370000,1,대지,37,,서울특별시 영등포구 당산동2가 37,115603118022,서울특별시 영등포구 영등포로,103,,1156011200100370000031023,하나비즈타워,서울특별시 영등포구 영등포로 103,150042,07264,,1,,126.893189350641,37.5220702495697
MA0101202210A0021145,씨유대림디지털점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300108680015,1,대지,868,15,서울특별시 영등포구 대림동 868-15,115603000026,서울특별시 영등포구 디지털로,404,,1156013300108680015005439,빌딩,서울특별시 영등포구 디지털로 404,150818,07438,,1,,126.903679790556,37.4925893877342
